"","Date","all_models_mean","all_models_stdev"
"1",Jan 2018,201.98,17.13
"2",Feb 2018,233.6,17.14
"3",Mar 2018,271.77,15.85
"4",Apr 2018,286.02,20.78
"5",May 2018,271.67,25.81
"6",Jun 2018,278.34,29.39
"7",Jul 2018,279.28,23.41
"8",Aug 2018,271.16,26.23
"9",Sep 2018,251.37,24.54
"10",Oct 2018,229.49,23.69
"11",Nov 2018,199.51,22.17
"12",Dec 2018,189.82,15.28
"13",Jan 2019,205.72,17.35
"14",Feb 2019,236.05,15.1
"15",Mar 2019,270.34,17.5
"16",Apr 2019,285.39,19.51
"17",May 2019,281.97,25.43
"18",Jun 2019,279.25,19.39
"19",Jul 2019,274.99,22.07
"20",Aug 2019,270.66,22.79
"21",Sep 2019,253.95,18.21
"22",Oct 2019,222.6,22
"23",Nov 2019,200.61,21.43
"24",Dec 2019,186.8,19.94
